"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:25","37,9 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","plastikowe","nie","internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka","piwnica","wielka plyta","319 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-parter-rozklad-inwestycja-ID4gNAt","lublin","2022-05-20"
"1:26","37 m²","pelna wlasnosc","2 ","do zamieszkania","parter/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","359 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-przy-politechnice-lubelskiej-ID4hiXn","lublin",NA
"1:27","33,5 m²","pelna wlasnosc","2 ","do zamieszkania","6/6","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1988","blok","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","wielka plyta","364 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-czechowie-blisko-um-ID4hitY","lublin",NA
"1:28","37 m²","pelna wlasnosc","2 ","do remontu","parter/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1976","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka","piwnica","wielka plyta","359 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-blisko-uczelni-ID4hitU","lublin",NA
"1:29","30,89 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,"256 387 zl","https://www.otodom.pl/pl/oferta/kawalerka-bez-pcc-ID4e2Ba","lublin",NA
"1:30","35 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","7/10","zapytaj","350 zl","zapytaj","Film","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet",NA,"meble, piekarnik, kuchenka","piwnica",NA,"348 700 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-z-garderoba-ul-lwowska-ID4hfHY","lublin",NA
"1:31","37 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","balkon","330 zl","zapytaj","tak","miejskie","wtórny","prywatny","1965","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/wieniawa-blisko-centrum-wysoki-standard-balkon-ID4hfFy","lublin",NA
"1:32","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","1/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1968","blok","plastikowe","nie",NA,NA,NA,"piwnica","cegla","355 000 zl","https://www.otodom.pl/pl/oferta/lsm-2-pokoje-balkon-1-pietro-blisko-uczelnie-ID4hhmt","lublin",NA
"1:33","35,5 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","balkon","zapytaj","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","2000","blok","plastikowe","nie","internet","domofon / wideofon",NA,"piwnica, oddzielna kuchnia",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-przy-ul-altanowej-ID4hcpJ","lublin",NA
"1:34","32,04 m²","zapytaj","2 ","do zamieszkania","parter/4","zapytaj","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1979","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-nowoczesne-po-remoncie-do-wejscia-ID4gyUV","lublin","2022-05-06"
