"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:340","30,87 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1939","kamienica","plastikowe","nie",NA,"domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","290 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-ul-chopina-inwestuj-ID4gLDc","lublin",NA
"1:341","25,01 m²","pelna wlasnosc","1 ","do remontu","2/4","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1939","kamienica","plastikowe","nie",NA,"domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","250 000 zl","https://www.otodom.pl/pl/oferta/mieszkania-na-ul-chopina-od-25-mkw-inwestycyjnie-ID4gLy5","lublin",NA
"1:342","35,6 m²","zapytaj","2 ","do zamieszkania","8/8","balkon","365 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe",NA,"345 000 zl","https://www.otodom.pl/pl/oferta/czechow-atrakcyjne-mieszkanie-z-pieknym-widokiem-ID4gLtm","lublin",NA
"1:343","37,41 m²","pelna wlasnosc","2 ","zapytaj","6/6","taras","280 zl","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","2018",NA,NA,"tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"inne","415 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-38-m2-slawinek-os-zielone-wzgorze-ID4gL1f","lublin",NA
"1:344","36,41 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-002-ID4gKIh","lublin",NA
"1:345","29,52 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-029-ID4gKE7","lublin",NA
"1:346","34,7 m²","zapytaj","1 ","do zamieszkania","parter/5","zapytaj","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2005","apartamentowiec",NA,"tak",NA,NA,NA,"oddzielna kuchnia",NA,"329 000 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-do-wprowadzenia-ID4gKjf","lublin",NA
"1:347","35,9 m²","spóldzielcze wl. z KW","2 ","do remontu","9/10","balkon","512 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980",NA,NA,"tak",NA,NA,"meble","oddzielna kuchnia","wielka plyta","265 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-sprzedaz-2-pokoje-36-m2-bronowice-ID4gKcl","lublin",NA
"1:348","32,88 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","295 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","blok","plastikowe","tak",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"silikat","359 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje2016-rokczuby-ID4gJM2","lublin","2022-06-01"
"1:349","33 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","blok",NA,"tak",NA,NA,NA,NA,"cegla","359 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-nowe-budownictwo-czuby-ID4gJAV","lublin",NA
"1:350","31,04 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-118-ID4gJs5","lublin",NA
"1:351","31,04 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-121-ID4gJry","lublin",NA
"1:352","31,04 m²","zapytaj","2 ","do wykonczenia","4/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-124-ID4gJra","lublin",NA
"1:353","31,04 m²","zapytaj","2 ","do wykonczenia","4/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-130-ID4gJpQ","lublin",NA
"1:354","31,04 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-136-ID4gJpp","lublin",NA
"1:355","31,04 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-145-ID4gJlK","lublin",NA
"1:356","31,04 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-148-ID4gJko","lublin",NA
"1:357","31,04 m²","zapytaj","2 ","do wykonczenia","2/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-151-ID4gJiz","lublin",NA
"1:358","31,04 m²","zapytaj","2 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-154-ID4gJi2","lublin",NA
"1:359","31,04 m²","zapytaj","2 ","do wykonczenia","5/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-157-ID4gJhJ","lublin",NA
"1:360","31,04 m²","zapytaj","2 ","do wykonczenia","5/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-160-ID4gJgJ","lublin",NA
"1:361","31,04 m²","zapytaj","2 ","do wykonczenia","6/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-163-ID4gJgj","lublin",NA
"1:362","31,04 m²","zapytaj","2 ","do wykonczenia","7/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-166-ID4gJ7f","lublin",NA
"1:363","31,04 m²","zapytaj","2 ","do wykonczenia","8/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-169-ID4gJ3W","lublin",NA
"1:364","30,79 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-172-ID4gIKg","lublin",NA
"1:365","30,79 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-175-ID4gIJM","lublin",NA
"1:366","25,46 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-jemioluszki-budynek-ab-mieszkanie-m6-ID4eNu4","lublin",NA
"1:367","30,79 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-199-ID4gI0w","lublin",NA
"1:368","30,79 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-202-ID4gI01","lublin",NA
"1:369","30,34 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","zapytaj","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1960","kamienica",NA,"nie",NA,NA,NA,"piwnica, pom. uzytkowe","cegla","249 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-blisko-centrum-dziesiata-ID4fxTi","lublin",NA
"1:370","30,79 m²","zapytaj","2 ","do wykonczenia","parter/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-227-ID4gHE0","lublin",NA
"1:371","30,79 m²","zapytaj","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-231-ID4gHBD","lublin",NA
"1:372","30,79 m²","zapytaj","2 ","do wykonczenia","2/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-235-ID4gHAd","lublin",NA
"1:373","30,79 m²","zapytaj","2 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-239-ID4gHzs","lublin",NA
"1:374","37,69 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","zelbet","448 511 zl","https://www.otodom.pl/pl/oferta/niezwykle-mieszkanie-fieldorfa-3-m-03-ID4gqEZ","lublin",NA
"1:375","36,62 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"281 974 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-16-ID4f6oM","lublin",NA
"1:376","23 m²","pelna wlasnosc","1 ","zapytaj","2/11","zapytaj","294 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie",NA,NA,NA,"piwnica",NA,"208 150 zl","https://www.otodom.pl/pl/oferta/kawalerka-23m2-12min-piechota-od-starego-miasta-ID4gDyy","lublin",NA
"1:377","27 m²","pelna wlasnosc","1 ","do zamieszkania","9/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1979","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/lsm-kawalerka-z-pieknym-widokiem-ID4gGEy","lublin",NA
"1:378","34,79 m²","pelna wlasnosc","2 ","do wykonczenia","1","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2024","blok",NA,"tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokoje-z-aneksem-kuchennym-niecala-7-b4-8-ID4gkKW","lublin",NA
"1:379","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m16-ID4fFLR","lublin",NA
"1:380","26,5 m²","zapytaj","1 ","do zamieszkania","7/10","zapytaj","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,NA,"tak",NA,NA,NA,NA,"wielka plyta","274 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-czechow-blisko-medycznego-i-pola-ID4gG1N","lublin","2022-06-25"
"1:381","37,9 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1977","blok",NA,"nie",NA,NA,NA,NA,"wielka plyta","341 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-kalina-blisko-centrum-ID4gFSc","lublin",NA
"1:382","31 m²","spóldzielcze wl. z KW","1 ","do remontu","2/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe",NA,"piwnica",NA,"228 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-31-m2-na-drugim-pietrze-lublin-bronowice-ID4gFFo","lublin",NA
"1:383","26,5 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","1/10","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1982",NA,NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","259 000 zl","https://www.otodom.pl/pl/oferta/czechowkawalerkawindado-negocjacji-ID4gFkw","lublin",NA
"1:384","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","6/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m60-ID4fFOC","lublin",NA
"1:385","38 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"nie",NA,NA,NA,"oddzielna kuchnia","wielka plyta","319 000 zl","https://www.otodom.pl/pl/oferta/dwa-rozkladowe-pokoje-w-spokojnej-okolicy-ID4gx4z","lublin",NA
"1:386","37,1 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/10","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica","wielka plyta","390 000 zl","https://www.otodom.pl/pl/oferta/2pokojowe-mieszkanie-lsm-w-poblizu-uniwersytetow-ID4gE30","lublin",NA
"1:387","36,94 m²","pelna wlasnosc","2 ","do wykonczenia","1","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2024","blok",NA,"tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokoje-z-aneksem-kuchennym-niecala-7-b3-6-ID4gkKL","lublin",NA
"1:388","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m52-ID4fFO2","lublin",NA
"1:389","32,12 m²","pelna wlasnosc","2 ","zapytaj","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","kotlownia","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","cegla","269 808 zl","https://www.otodom.pl/pl/oferta/osiedle-daliowa-mieszkanie-2p-ak-ID4esj9","lublin",NA
"1:390","33 m²","zapytaj","1 ","zapytaj","zapytaj","balkon, ogródek","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia",NA,"347 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-parter-ID4gDLk","lublin",NA
"1:391","34 m²","pelna wlasnosc","1 ","zapytaj","3/8","balkon","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie","internet, telefon","domofon / wideofon","lodówka, meble, kuchenka","piwnica, oddzielna kuchnia","inne","295 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-34-m2-czechow-okazja-ID4gCFy","lublin","2022-05-09"
"1:392","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m49-ID4fFN7","lublin",NA
"1:393","28 m²","pelna wlasnosc","1 ","do zamieszkania","parter/5","ogródek, taras","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, rolety antywlamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"wielka plyta","319 000 zl","https://www.otodom.pl/pl/oferta/gotowa-do-zamieszkania-kawalerka-ul-kwarcowa-ekop-ID4fYHy","lublin",NA
"1:394","34,37 m²","pelna wlasnosc","2 ","zapytaj","2/4","zapytaj","289 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1981",NA,NA,"tak",NA,NA,NA,"pom. uzytkowe",NA,"330 000 zl","https://www.otodom.pl/pl/oferta/2-pok-do-dalszego-wynajmu-gotowa-inwestycja-ID4gClK","lublin",NA
"1:395","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m38-ID4fFMq","lublin",NA
"1:396","27 m²","zapytaj","1 ","zapytaj","2/2","balkon","zapytaj","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","1946","kamienica","plastikowe","nie",NA,NA,NA,NA,NA,"80 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-bronowice-ID4gAhp","lublin","2022-05-09"
"1:397","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m29-ID4fFMm","lublin",NA
"1:398","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m27-ID4fFM4","lublin",NA
"1:399","36,69 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2024","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"385 245 zl","https://www.otodom.pl/pl/oferta/green-park-uroczy-apartament-m1-6-ID4fB7N","lublin",NA
"1:400","34,6 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"269 880 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-18-ID4f6oQ","lublin",NA
"1:401","37,78 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2024","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"332 464 zl","https://www.otodom.pl/pl/oferta/green-park-przytulny-apartament-a1-4-ID4fB7L","lublin",NA
"1:402","36,62 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"281 974 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-17-ID4f6oN","lublin",NA
"1:403","37 m²","pelna wlasnosc","2 ","do remontu","3/10","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","telewizja kablowa, internet",NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","329 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lublin-ID4gyWI","lublin",NA
"1:404","29,79 m²","zapytaj","1 ","zapytaj","1/5","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","internet",NA,NA,"piwnica",NA,"268 110 zl","https://www.otodom.pl/pl/oferta/kawalerka-oddzielna-kuchnia-30m2-czuby-2022r-ID4gyIO","lublin",NA
"1:405","32,74 m²","zapytaj","1 ","do wykonczenia","3/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023",NA,NA,"nie",NA,NA,NA,NA,NA,"252 098 zl","https://www.otodom.pl/pl/oferta/mieszkanie-lublin-kosminek-ID4gyGK","lublin",NA
"1:406","26,14 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2024","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"227 418 zl","https://www.otodom.pl/pl/oferta/green-park-przestronny-apartament-a1-3-ID4fB7K","lublin",NA
"1:407","37,9 m²","spóldzielcze wl. z KW","2 ","do remontu","parter/4","zapytaj","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka","piwnica","cegla","319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-kalina-ID4gxX4","lublin",NA
"1:408","38 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1979","blok",NA,"nie",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","cegla","319 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-do-wlasnej-aranzacji-na-kalinowszczyznie-ID4gxIx","lublin",NA
"1:409","35,87 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2024","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"315 656 zl","https://www.otodom.pl/pl/oferta/green-park-nowy-apartament-a1-2-ID4fB7J","lublin",NA
"1:410","32,74 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","200 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"inne","252 098 zl","https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-balkonem-bez-pcc-bez-prowizji-ID4gx2a","lublin","2023-09-01"
