"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:588","37,33 m²","spóldzielcze wl. z KW","2 ","zapytaj","4/4","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica",NA,"350 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-przerobka-ID4gX08","gdansk",NA
"1:589","22 m²","zapytaj","1 ","zapytaj","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-okazja-ID4gVYn","gdansk",NA
"1:590","36 m²","pelna wlasnosc","1 ","zapytaj","parter/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"409 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-na-ujescisku-ID4gVNG","gdansk","2022-08-11"
"1:591","29 m²","zapytaj","1 ","do zamieszkania","3/4","zapytaj","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie",NA,NA,"meble",NA,NA,"360 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-morza-ID4gVa2","gdansk",NA
"1:592","25,52 m²","zapytaj","3 ","zapytaj","parter/2","ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"710 940 zl","https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-na-pieknym-osiedlu-ID4gWV4","gdansk",NA
"1:593","37,15 m²","pelna wlasnosc","2 ","zapytaj","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,NA,NA,NA,"340 000 zl","https://www.otodom.pl/pl/oferta/kompaktowe-mieszkanie-blisko-srodmiescia-ID4gUZ6","gdansk","2022-12-26"
"1:594","31,44 m²","pelna wlasnosc","2 ","do remontu","4/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie",NA,NA,NA,"piwnica","inne","400 000 zl","https://www.otodom.pl/pl/oferta/32m2-przymorze-500-m-od-plazy-obok-parku-reagana-ID4gcaa","gdansk","2022-06-07"
"1:595","31,2 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","3/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2000","blok",NA,"nie","internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble","piwnica, oddzielna kuchnia",NA,"310 000 zl","https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-pieknym-widokiem-ID4gUW1","gdansk",NA
"1:596","35,98 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"domofon / wideofon",NA,"pom. uzytkowe",NA,"380 500 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-atrakcyjnej-cenie-10-575-m2-ID4gUIT","gdansk",NA
"1:597","31,12 m²","zapytaj","1 ","do zamieszkania","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024",NA,NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"412 651 zl","https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-na-morenie-ID4gUHh","gdansk","2023-02-28"
"1:598","35,8 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"324 100 zl","https://www.otodom.pl/pl/oferta/miejsce-postojowe-w-ceniepelna-ofertalato-2022-ID4gUfH","gdansk",NA
"1:599","25,53 m²","zapytaj","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","prywatny","2021","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"pustak","278 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-jasieniu-inwestycja-monsa-ID4c1NC","gdansk",NA
"1:600","38 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","10/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica","wielka plyta","430 000 zl","https://www.otodom.pl/pl/oferta/2pokoje-gdansk-przymorze-spol-wlas-obcokrajowcy-ID4gU4p","gdansk",NA
"1:601","38 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965",NA,NA,"nie",NA,NA,NA,"piwnica",NA,"349 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-ID4gTZR","gdansk",NA
"1:602","30 m²","spóldzielcze wl. z KW","1 ","do remontu","1/10","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe",NA,"350 000 zl","https://www.otodom.pl/pl/oferta/700-m-od-plazy-wejscie-z-klatki-schodowej-ID4gEhz","gdansk",NA
"1:603","36,2 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","balkon","550 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2001","blok",NA,"nie",NA,"monitoring / ochrona",NA,"piwnica, pom. uzytkowe",NA,"429 000 zl","https://www.otodom.pl/pl/oferta/cicha-okolica-15-min-do-centrum-las-i-balkon-ID4gDDs","gdansk",NA
"1:604","27,85 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie","internet, telefon",NA,NA,NA,NA,"479 500 zl","https://www.otodom.pl/pl/oferta/villa-neptun-50-m-od-martwej-wisly-gotowe-do-od-ID4gTIo","gdansk",NA
"1:605","35,63 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok",NA,"nie",NA,NA,"meble",NA,NA,"419 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-2-pokoje-z-tarasem-ID4gTCk","gdansk",NA
"1:606","38 m²","pelna wlasnosc","2 ","do zamieszkania","9/10","zapytaj","650 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1973","blok","plastikowe","tak","internet","domofon / wideofon","meble",NA,NA,"460 000 zl","https://www.otodom.pl/pl/oferta/swietna-inwestycja-mieszkanie-blisko-morza-ID4gzqq","gdansk",NA
"1:607","22,5 m²","pelna wlasnosc","1 ","zapytaj","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2020",NA,NA,"nie",NA,NA,"meble",NA,NA,"602 671 zl","https://www.otodom.pl/pl/oferta/apartament-hotelowy-w-modelu-kup-i-zarabiaj-ID4f5wf","gdansk",NA
"1:608","37,39 m²","zapytaj","2 ","zapytaj","4/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1970",NA,NA,"nie",NA,NA,NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-przerobka-ID4gTm2","gdansk",NA
"1:609","27 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/4","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie","internet",NA,"meble","piwnica, oddzielna kuchnia",NA,"359 000 zl","https://www.otodom.pl/pl/oferta/gdansk-przymorze-27m2-blisko-skm-kawalerka-ID4g6Fh","gdansk","2022-06-21"
"1:610","18,18 m²","pelna wlasnosc","1 ","zapytaj","3/7","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"piwnica",NA,"470 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-gdanska-ID4gT2H","gdansk","2022-07-01"
"1:611","30,41 m²","pelna wlasnosc","1 ","do remontu","parter/4","balkon, ogródek","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","blok",NA,"tak",NA,NA,"meble","piwnica, pom. uzytkowe",NA,"299 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem-z-2016r-w-okazyjnej-cenie-ID4gSRx","gdansk","2022-06-14"
"1:612","32,4 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","balkon","470 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2003","blok","plastikowe","nie","internet",NA,NA,"piwnica, oddzielna kuchnia",NA,"395 000 zl","https://www.otodom.pl/pl/oferta/gdansk-kawalerka-32-40m2-parter-szybkie-wydanie-ID4gSp6","gdansk","2022-05-30"
"1:613","35,02 m²","pelna wlasnosc","1 ","do wykonczenia","6/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,NA,NA,"435 000 zl","https://www.otodom.pl/pl/oferta/do-plazy-5-min-inwestycja-okazja-sprawdz-ID4gSif","gdansk",NA
"1:614","35,76 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","5 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie",NA,NA,NA,NA,"inne","332 568 zl","https://www.otodom.pl/pl/oferta/2-pokoje-przy-niepolomickiej-w-gdansku-nowe-ID4cRCt","gdansk",NA
"1:615","36,66 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","zapytaj","5 zl","zapytaj","zapytaj","inne","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak",NA,NA,NA,NA,"inne","342 500 zl","https://www.otodom.pl/pl/oferta/2-pokoje-gdansk-lostowice-10-minut-od-centrum-ID4cTwx","gdansk",NA
"1:616","31,4 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","ogródek","130 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,"domofon / wideofon",NA,"piwnica","cegla","385 000 zl","https://www.otodom.pl/pl/oferta/centrum-miasta-inwestycja-niski-czynsz-ID4gF46","gdansk",NA
"1:617","37,3 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","balkon, taras","500 zl","garaz/miejsce parkingowe","","miejskie","wtórny","biuro nieruchomosci ","2009","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","silikat","1 160 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-100m-od-plazy-37-30m-silownia-ochrona-ID4f69W","gdansk",NA
"1:618","30 m²","pelna wlasnosc","1 ","do zamieszkania","1/10","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,NA,"tak",NA,"monitoring / ochrona","meble","piwnica, pom. uzytkowe","wielka plyta","379 000 zl","https://www.otodom.pl/pl/oferta/15-min-spacerem-do-plazy-i-morza-ID4gQqT","gdansk",NA
"1:619","35,88 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,NA,NA,NA,"575 000 zl","https://www.otodom.pl/pl/oferta/gdansk-wrzeszcz-morze-komunikacja-hala-garaz-ID4gQlM","gdansk",NA
"1:620","36,4 m²","zapytaj","1 ","do zamieszkania","1/2","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2013","blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-osobna-kuchnia-na-jasieniu-ID4gQiy","gdansk",NA
"1:621","33,1 m²","pelna wlasnosc","2 ","do zamieszkania","> 10/17","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","apartamentowiec",NA,"tak",NA,"monitoring / ochrona",NA,NA,NA,"629 000 zl","https://www.otodom.pl/pl/oferta/apartament-gdansk-przymorze-ID4gQga","gdansk",NA
"1:622","26,19 m²","spóldzielcze wl. z KW","1 ","do remontu","4","zapytaj","280 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1970",NA,"plastikowe","nie",NA,NA,NA,NA,"wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-26-19-m-gdansk-ID4gQ1U","gdansk",NA
"1:623","37 m²","zapytaj","2 ","zapytaj","7/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"349 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-stogi-ID4gQ08","gdansk",NA
"1:624","38 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","300 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1947","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica","cegla","550 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-38-m2-w-kamienicy-i-blisko-centrum-ID4gPVP","gdansk",NA
"1:625","29,48 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4gtG5","gdansk",NA
"1:626","25,15 m²","zapytaj","1 ","do zamieszkania","4/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023",NA,NA,"nie",NA,NA,NA,NA,NA,"339 525 zl","https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-w-inwestycji-ID4gPPM","gdansk","2023-10-26"
"1:627","33,33 m²","pelna wlasnosc","2 ","do zamieszkania","1/7","balkon","zapytaj","garaz/miejsce parkingowe","Film","zapytaj","wtórny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,NA,"450 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-z-hala-lawendowe-wzgorze-ID4gPNY","gdansk",NA
"1:628","36,41 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-z-ogrodkiem-zainwestuj-ID4gPFN","gdansk","2022-12-01"
"1:629","35,98 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"380 500 zl","https://www.otodom.pl/pl/oferta/przestronne-dwa-pokoje-w-dobrej-cenie-na-jasieniu-ID4gPFK","gdansk","2022-12-01"
"1:630","29,58 m²","zapytaj","2 ","zapytaj","1/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2020","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"inne","319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-jasien-ID4gPtW","gdansk",NA
"1:631","38 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"499 000 zl","https://www.otodom.pl/pl/oferta/przymorze-2-pietro-balkon-od-zaraz-ID4gPqA","gdansk","2022-05-24"
"1:632","30,32 m²","pelna wlasnosc","1 ","do zamieszkania","5/5","balkon","320 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2014","blok","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","pom. uzytkowe","pustak","395 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-spokojna-okolica-inwestycja-ID4gKKy","gdansk","2022-06-01"
"1:633","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","8/11","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"470 000 zl","https://www.otodom.pl/pl/oferta/widok-na-morze-sloneczne-inwestycja-ID4gIfC","gdansk","2022-07-01"
"1:634","35,87 m²","pelna wlasnosc","2 ","do zamieszkania","5/5","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,"799 000 zl","https://www.otodom.pl/pl/oferta/aura-40-miejsce-w-hali-wykonczone-pod-klucz-ID4gKx2","gdansk","2022-05-20"
"1:635","36,61 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","zapytaj","550 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950","kamienica","plastikowe","tak","internet, telefon",NA,"lodówka, meble, kuchenka, pralka","piwnica","cegla","585 760 zl","https://www.otodom.pl/pl/oferta/250m-od-fontanny-neptuna-inwestycja-winda-ID4doBj","gdansk","2021-09-23"
"1:636","27,27 m²","pelna wlasnosc","2 ","zapytaj","2/4","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2019","blok",NA,"tak","internet","teren zamkniety, domofon / wideofon","meble",NA,NA,"339 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-oddzielna-sypialnia-w-idealnym-stanie-ID4gOC3","gdansk","2022-07-01"
"1:637","33 m²","zapytaj","2 ","zapytaj","1/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2021",NA,NA,"nie",NA,NA,NA,NA,NA,"450 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-wykonczone-pod-klucz-na-jasieniu-robyg-ID4gOlo","gdansk",NA
"1:638","16,34 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"271 325 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-16m2-taras-ID4gLOD","gdansk",NA
"1:639","15,18 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"255 798 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-15m2-ID4gLP0","gdansk",NA
"1:640","33 m²","pelna wlasnosc","2 ","do zamieszkania","10/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica",NA,"490 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-pod-inwestycje-zwrot-roi-7-rocznie-ID4ePI2","gdansk",NA
"1:641","28 m²","pelna wlasnosc","1 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1992",NA,NA,"nie",NA,NA,NA,NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-niedzwiednik-ID4gNQp","gdansk",NA
"1:642","34,71 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-bez-prowizji-ID4fiPr","gdansk",NA
"1:643","35 m²","zapytaj","2 ","do wykonczenia","4/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,NA,NA,NA,"337 000 zl","https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-szybki-odbior-xii-2022-ID4gNH7","gdansk","2022-12-30"
"1:644","21 m²","pelna wlasnosc","1 ","do zamieszkania","parter/2","zapytaj","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor","piwnica","cegla","455 000 zl","https://www.otodom.pl/pl/oferta/apartament-inwestycyjny-ID4gNuP","gdansk",NA
"1:645","34,77 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","ogródek, taras","350 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2018",NA,NA,"nie",NA,NA,"meble","pom. uzytkowe",NA,"389 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-z-widokiem-na-zielen-ID4gNrO","gdansk","2022-05-20"
"1:646","15,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"263 355 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-15m2-taras-ID4gLOy","gdansk",NA
"1:647","34,63 m²","pelna wlasnosc","2 ","zapytaj","parter/2","zapytaj","450 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"369 000 zl","https://www.otodom.pl/pl/oferta/nowy-port-2-pokoje-blisko-morza-ID4gNfR","gdansk","2022-05-20"
"1:648","35,98 m²","zapytaj","2 ","zapytaj","1/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"pom. uzytkowe","inne","368 000 zl","https://www.otodom.pl/pl/oferta/b-13-promocja-ID4eNK8","gdansk","2022-10-01"
"1:649","21,5 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/11","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1973","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","349 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-przymorze-ID4gMZL","gdansk",NA
"1:650","35,5 m²","zapytaj","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"317 000 zl","https://www.otodom.pl/pl/oferta/cena-do-negocjacji-dodatkowe-m2-pod-skosem-ID4gMIP","gdansk","2023-06-30"
"1:651","35,5 m²","zapytaj","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"317 000 zl","https://www.otodom.pl/pl/oferta/cena-do-negocjacji-dodatkowe-m2-pod-skosem-ID4gMFQ","gdansk","2023-06-30"
"1:652","38 m²","zapytaj","2 ","do zamieszkania","2/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie",NA,NA,"meble","piwnica",NA,"489 000 zl","https://www.otodom.pl/pl/oferta/nowosc-2-pokojowe-mieszkanie-pieknym-widok-ID4gMvb","gdansk",NA
"1:653","28,7 m²","zapytaj","2 ","do zamieszkania","parter/3","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024",NA,NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"370 660 zl","https://www.otodom.pl/pl/oferta/komfortowy-dwupokojowy-apartament-w-centrum-ID4gMtY","gdansk","2024-06-28"
"1:654","35,37 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"331 500 zl","https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-obron-sie-przed-infacja-ID4gMqE","gdansk","2022-12-01"
"1:655","25,53 m²","zapytaj","1 ","zapytaj","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak","telewizja kablowa, internet",NA,NA,NA,NA,"268 065 zl","https://www.otodom.pl/pl/oferta/kawalerka-ostatnie-pietro-nowa-inwestycja-ID4gMm2","gdansk",NA
"1:656","27 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","meble","piwnica",NA,"429 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-przymorzu-blisko-morza-ID4gMic","gdansk",NA
"1:657","18 m²","zapytaj","1 ","do zamieszkania","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024",NA,NA,"nie",NA,NA,NA,NA,NA,"276 750 zl","https://www.otodom.pl/pl/oferta/mikroapartament-idealny-na-wynajem-ID4gMc7","gdansk","2024-06-30"
