"","X","Powierzchnia","Forma.wlasnosci","Liczba.pokoi","Stan.wykonczenia","Pietro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsluga.zdalna","Ogrzewanie","Rynek","Typ.ogloszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje.dodatkowe","Material.budynku","cena","urlo","miasto","Dostepne.od","SQRM"
"1:25","1:26",37,"pelna wlasnosc","2","do zamieszkania","parter/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1975,"blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta",359000,"https://www.otodom.pl/pl/oferta/2-pokoje-przy-politechnice-lubelskiej-ID4hiXn","lublin",NA,9703
"1:26","1:27",34,"pelna wlasnosc","2","do zamieszkania","6/6","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1988,"blok","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","wielka plyta",364000,"https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-czechowie-blisko-um-ID4hitY","lublin",NA,10706
"1:27","1:28",37,"pelna wlasnosc","2","do remontu","parter/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1976,"blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka","piwnica","wielka plyta",359000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-blisko-uczelni-ID4hitU","lublin",NA,9703
"1:28","1:29",31,"pelna wlasnosc","1","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper",2023,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,256387,"https://www.otodom.pl/pl/oferta/kawalerka-bez-pcc-ID4e2Ba","lublin",NA,8271
"1:29","1:30",35,"spóldzielcze wl. z KW","2","do zamieszkania","7/10","zapytaj","350 zl","zapytaj","Film","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet",NA,"meble, piekarnik, kuchenka","piwnica",NA,348700,"https://www.otodom.pl/pl/oferta/2-pokojowe-z-garderoba-ul-lwowska-ID4hfHY","lublin",NA,9963
"1:30","1:31",37,"pelna wlasnosc","2","do zamieszkania","2/3","balkon","330 zl","zapytaj","tak","miejskie","wtórny","prywatny",1965,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",NA,399000,"https://www.otodom.pl/pl/oferta/wieniawa-blisko-centrum-wysoki-standard-balkon-ID4hfFy","lublin",NA,10784
"1:31","1:32",38,"spóldzielcze wl. z KW","2","do zamieszkania","1/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1968,"blok","plastikowe","nie",NA,NA,NA,"piwnica","cegla",355000,"https://www.otodom.pl/pl/oferta/lsm-2-pokoje-balkon-1-pietro-blisko-uczelnie-ID4hhmt","lublin",NA,9342
"1:32","1:33",36,"pelna wlasnosc","1","do zamieszkania","parter/3","balkon","zapytaj","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ",2000,"blok","plastikowe","nie","internet","domofon / wideofon",NA,"piwnica, oddzielna kuchnia",NA,339000,"https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-przy-ul-altanowej-ID4hcpJ","lublin",NA,9417
"1:33","1:34",32,"zapytaj","2","do zamieszkania","parter/4","zapytaj","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1979,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","wielka plyta",299000,"https://www.otodom.pl/pl/oferta/2-pokoje-nowoczesne-po-remoncie-do-wejscia-ID4gyUV","lublin","2022-05-06",9344
"1:34","1:35",25,"spóldzielcze wlasnosciowe","1","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1988,"blok","drewniane","nie",NA,NA,NA,NA,"wielka plyta",240000,"https://www.otodom.pl/pl/oferta/kawalerka-okrzei-do-wejscia-ID4hh0d","lublin",NA,9600
"1:35","1:36",30,"pelna wlasnosc","1","zapytaj","2/3","balkon","260 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","meble, kuchenka","piwnica, oddzielna kuchnia","cegla",279000,"https://www.otodom.pl/pl/oferta/mieszkanie-przy-miasteczku-akademickim-ID4hgXL","lublin",NA,9300
"1:36","1:37",33,"pelna wlasnosc","1","do zamieszkania","10/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1976,"blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta",309000,"https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-oddzielna-kuchnia-ID4gYGk","lublin",NA,9364
"1:37","1:38",37,"pelna wlasnosc","2","do zamieszkania","4/4","balkon","240 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","internet","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica","cegla",368000,"https://www.otodom.pl/pl/oferta/mieszkanie-2pokojowe-wieniawa-ul-klemensa-junoszy-ID4hbDt","lublin",NA,9946
